1,"Generate an anatomical diagram of Spleen White Pulp Architecture. Show lymphoid follicles with germinal centers containing CD20+ B cells (B-cell activation zone). Show periarteriolar lymphoid sheath (PALS) with CD3+ T cells surrounding small arteries. Label: Marginal zone contains macrophages and antigen-presenting cells."
2,"Create a clinical diagram of Functional Asplenia in Sickle Cell Disease. Show autosplenectomy from vaso-occlusion, decreased IgM, impaired complement activation (C3b opsonization), high risk of encapsulated bacteria (S. pneumoniae, H. influenzae, N. meningitidis). Label: Vaccination against encapsulated pathogens essential."
3,"Generate a hematology diagram of Howell-Jolly Bodies. Show postsplenectomy peripheral blood smear with erythrocytes containing small, round basophilic nuclear remnants. Label: Normally removed by splenic macrophages, presence indicates absent/impaired splenic function. Also show target cells."
4,"Create a clinical diagram of Thymoma Associated with Myasthenia Gravis. Show anterior mediastinal mass, immature lymphocytes on biopsy, acetylcholine receptor antibodies causing fatigable muscle weakness (double vision, muscle fatigue worsening throughout day). Label: Thymectomy can improve symptoms."
5,"Generate a cellular immunology diagram of TLR4 Recognition of LPS. Show Gram-negative bacteria with lipopolysaccharide (LPS), TLR4 receptor on macrophage, recognition triggering inflammatory response. Label: TLR4 defect impairs pathogen recognition, predisposes to severe Gram-negative infections."
6,"Create an immunology diagram of MHC I Antigen Presentation. Show virus-infected cell, MHC I presenting endogenous viral antigens to CD8+ cytotoxic T cells, impaired MHC I expression causing susceptibility to viral infections. Label: MHC I expressed on all nucleated cells."
7,"Generate an immunology diagram of MHC II Deficiency. Show impaired MHC II antigen presentation to CD4+ helper T cells, resulting in chronic mucocutaneous fungal infections and recurrent extracellular bacterial illness. Label: MHC II found on professional APCs (dendritic cells, macrophages, B cells)."
8,"Create a clinical diagram of Ankylosing Spondylitis. Show HLA-B27 association, chronic inflammatory back pain, sacroiliitis (inflammatory changes at sacroiliac joints), reduced spinal mobility, heel pain. Label: Seronegative spondyloarthropathy, symptoms improve with activity."
9,"Generate an immunology diagram of Antibody-Dependent Cell-Mediated Cytotoxicity (ADCC). Show CMV-infected cell with decoy MHC I proteins preventing NK-cell activation, IgG antibodies coating infected cell, NK cells/macrophages recognizing via Fc receptors, cell destruction. Label: ADCC uses IgG to direct immune cells to kill antibody-coated targets."
10,"Create a thymic development diagram of Negative Selection. Show thymic medulla, self-reactive T cells recognizing self-antigens too strongly being eliminated, failure causing autoimmune diseases (type 1 diabetes, celiac disease, vitiligo). Label: AIRE mutations also impair negative selection."
11,"Generate an immunology diagram of Regulatory T Cells (Tregs). Show FOXP3 mutation in IPEX syndrome, impaired Treg generation, loss of immune tolerance, severe early-onset autoimmune disease (eczema, chronic diarrhea). Label: Tregs express CD3, CD4, CD25, FOXP3, secrete IL-10 and TGF-β."
12,"Create an immunology diagram of CD8+ Cytotoxic T Cells. Show CD8+ T cells killing virus-infected cells via perforin, granzyme, and Fas-FasL interactions, deficiency causing recurrent severe viral infections. Label: CD8+ cells require MHC I for activation, granzyme induces apoptosis."
13,"Generate an antibody structure diagram of IgG Fc Region Function. Show IgG antibody with Fab region (antigen binding) and Fc region, Fc receptors on macrophages/neutrophils, opsonization and phagocytosis, complement C1q binding. Label: Fc region mediates effector function, mutation impairs opsonization."
14,"Create an obstetric immunology diagram of Maternal IgG Transfer. Show IgG crossing placenta, providing passive immunity for first several months of life, low IgG at 6 months suggesting impaired maternal transfer or early-onset humoral immunodeficiency. Label: Infants rely on maternal IgG until immune system matures."
15,"Generate a mucosal immunology diagram of IgA Function. Show IgA abundant in tears, saliva, mucosal secretions, breast milk, protecting mucosal surfaces, IgA deficiency causing recurrent sinusitis and chronic ear infections. Label: Selective IgA deficiency is most common primary immunodeficiency, IgA resistant to proteases."
